Time	Text	Length	Number	Rocket_type	Rocket_number	for_search	Updated_date	Update_info	memo	
05/24 07:00:00	【今日の人工衛星】5/24 1962年：マーキュリー・アトラス7号 マーキュリー計画4番目の有人飛行。マルコム・スコット・カーペンターが搭乗。大気圏への突入角度のズレ、着水地点の402kmのズレが起こるも無事救出される	109	n052401d							
05/25 07:00:00	【今日の人工衛星】5/25 1973年：スカイラブ2号 アメリカの有人宇宙ステーション「スカイラブ」に初めて飛行士を送り込む。スカイラブは打ち上げ時の不具合のためすぐに利用できない状態であり、飛行士が修理を行った	106	n052501d							
05/26 07:00:00	【今日の人工衛星】5/26 1999年：Oceansat 1 インドの気象衛星、別名IRS-P4。太陽同期軌道を飛ぶ。PSLVロケット商業打ち上げが初めて成功した衛星でもある(同時にドイツ・韓国の衛星も打ち上げ)	106	n052601d							
05/27 07:00:00	【今日の人工衛星】5/27 1999年：STS-96 ディスカバリーによる飛行。スペースシャトルの、国際宇宙ステーションへの初めてのドッキングに当たる飛行(NHK「宇宙からウェイクアップコール」5/10でも紹介)	106	n052701d							
05/28 07:00:00	【今日の人工衛星】5/28 1971年：マルス3号 旧ソ連の火星探査機。着陸探査機は2号と異なり無事に軟着陸、火星表面の写真を初めて地球に送信した(ただしすぐに故障し、搭載していたローバーは使用できず)	101	n052801d							
05/29 07:00:00	【今日の人工衛星】5/29 1974年：ルナ22号 旧ソ連の月探査機。15号以降は有人月探査に向けた準備だったが結局実現せず。ちなみに、15号はアポロ11号に先んじて月の土壌を持ち帰れる可能性があったが着陸失敗により頓挫	110	n052901d							
05/30 07:00:00	【今日の人工衛星】5/30 1966年：サーベイヤー1号 アメリカの月探査機。アメリカの探査機として初めて月面に到達した	60	n053001d							
05/30 07:01:00	【今日の人工衛星】5/30 1971年：マリナー9号 アメリカの火星探査機。初めて火星を含む他の惑星の周回軌道に投入された探査機。撮影により観測を行い、火星表面の80%以上をカバーした	92	n053002d							
05/31 07:00:00	【今日の人工衛星】5/31 2008年：STS-124 ディスカバリーによるフライト。星出飛行士が搭乗し、実験棟きぼうの設置ミッション(1J、船内実験室のISSへの運搬と設置、船内保管室の本設置)を実施	101	n053101d							
06/01 06:02:00	★2008年の今日6/1 6:02、スペースシャトル・ディスカバリーで、実験棟きぼうの船内実験室・親アームが打ち上げられました。設置は星出彰彦宇宙飛行士が行いました。	83	n053101t1							
06/01 07:00:00	【今日の人工衛星】6/1 1990年：ROSAT アメリカ、ドイツ、イギリスによるX線探査衛星。X線源の全天サーベイを初めて実施、6万個以上のX線源を発見した	79	n060101d							
06/02 07:00:00	【今日の人工衛星】6/2 1983年：ベネラ15号 旧ソ連の金星探査機。着陸船部分を高性能のレーダーに交換することで、金星の大気の下の地表を観測。	73	n060201d							
06/02 07:01:00	【今日の人工衛星】6/2 2003年：マーズ・エクスプレス 欧州宇宙機関(ESA)の火星探査機、ESA初の惑星探査。本体の火星周回軌道への投入は成功したが、着陸船ビーグル2の着陸は失敗	92	n060202d							
06/02 07:02:00	【今日の人工衛星】6/2 2010年：実証衛星2号機(SERVIS-2)　高機能・低コストの民生部品・技術を利用した衛星を製作することで、衛星製作の低コスト化を狙った実証衛星。設計寿命の通り、ほぼ1年間にわたり運用された。	111	n060203d							
06/03 07:00:00	【今日の人工衛星】6/3 1965年：ジェミニ4号 ジェミニ計画の有人飛行2回目に相当する。将来の月探査に備え、アメリカ初の宇宙遊泳を実施すると共に、アメリカで初めての複数日の宇宙滞在も実施。	96	n060301d							
06/04 07:00:00	【今日の人工衛星】6/4 2010年：ドラゴン宇宙船制限ユニット・ファルコン9初号機　アメリカの民間企業スペースX社により開発されたファルコン9のテスト打ち上げ。同社が開発中のドラゴン宇宙船のテストヘッドを打ち上げた	108	n060401d							
06/05 07:00:00	【今日の人工衛星】6/5 1989年：スーパーバードA 日本の宇宙通信(現・スカパーJSAT)が打ち上げた通信衛星シリーズの初号機。同シリーズは、民間だけではなく防衛省も通信に利用している	94	n060501d							
06/06 07:00:00	【今日の人工衛星】6/6 2003年：AMC 9 衛星通信企業SES Americomが打ち上げた通信衛星。プロトンKロケットによる打ち上げ。元々GE Americomが打ち上げる予定だったが打ち上げ前に衛星毎買収された	110	n060601d							
06/07 07:00:00	【今日の人工衛星】6/7 1983年：ベネラ16号 旧ソ連の金星探査機。ベネラ計画最後の探査機。着陸船の代わりに高解像度のレーダーを搭載し観測を行った	75	n060701d							
06/08 07:00:00	【今日の人工衛星】6/8 1965年：ルナ6号 旧ソ連の月探査機。月の軟着陸を目指すが軌道投入に失敗。人類初の軟着陸成功はルナ9号を待たねばならなかった。	77	n060801d							
06/08 07:01:00	【今日の人工衛星】6/8 1975年：ベネラ9号 旧ソ連の金星探査機。8号までと異なる新しい設計の探査機で、軌道船が着陸船からの通信を中継するようになったのも9号から。	84	n060802d							
